Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
Dell,Latitude 5500,16,SSD,512,Intel,8th Gen i5,Integrated,Intel UHD Graphics,1.82,15.6,Windows,Notebook,102000,,,,,,,,,,,,,
Dell,Inspiron 7570,16,SSD,512,Intel,8th Gen i7,4,NVIDIA GeForce MX 130,1.99,15.6,Windows,Notebook,124999,,,,,,,,,,,,,
Dell,G3 3500,8,SSD,512,Intel,10th Gen i7,4,NVIDIA GeForce GTX 1650 Ti,2.3,15.6,Windows,Gaming,90690,,,,,,,,,,,,,
Dell,G3 3500,8,SSD+HDD,256+1024,Intel,10th Gen i5,4,NVIDIA GeForce GTX 1650 Ti,2.3,15.6,Windows,Gaming,78929,,,,,,,,,,,,,
Dell,G3 3500,8,SSD,512,Intel,9th Gen i7,4,NVIDIA GeForce GTX 1650,2.5,15.6,Windows,Gaming,88990,,,,,,,,,,,,,
Dell,G3 3590,8,SSD,512,Intel,9th Gen i7,6,NVIDIA GeForce GTX 1650 Ti,2.5,15.6,Windows,Gaming,109990,,,,,,,,,,,,,
Dell,G7 7590,16,SSD,512,Intel,9th Gen i7,6,NVIDIA 1660,2.5,15.6,Windows,Gaming,145000,,,,,,,,,,,,,
Dell,G3 3590,8,SSD,512,Intel,9th Gen i7,4,NVIDIA GeForce GTX 1650,2.5,15.6,Windows,Gaming,88990,,,,,,,,,,,,,
Dell,Inspiron 7386,16,SSD,512,Intel,8th Gen i7,Integrated,Intel UHD Graphics,1.4,13.3,Windows,Convertible,110000,,,,,,,,,,,,,
Dell,XPS 9570,8,SSD,256,Intel,8th Gen i7,Integrated,Intel UHD Graphics,2,15.6,Windows,Ultrabook,132500,,,,,,,,,,,,,
Dell,XPS 9570,16,SSD,512,Intel,8th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.25,15.6,Windows,Ultrabook,139787,,,,,,,,,,,,,
Dell,XPS 9570,32,SSD,1024,Intel,8th Gen i9,4,NVIDIA GeForce GTX 1050 Ti,2,15.6,Windows,Ultrabook,248140,,,,,,,,,,,,,
Dell,XPS 7390,8,SSD,512,Intel,10th Gen i7,Integrated,Intel UHD Graphics,1.29,13.3,Windows,Ultrabook,151156,,,,,,,,,,,,,
Dell,XPS 7390,16,SSD,512,Intel,10th Gen i7,Integrated,Intel UHD Graphics,1.29,13.3,Windows,Ultrabook,170876,,,,,,,,,,,,,
Dell,XPS 7390,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.29,13.3,Windows,Ultrabook,116800,,,,,,,,,,,,,
Dell,Inspiron 5491,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.86,14,Windows,Convertible,81190,,,,,,,,,,,,,
Dell,Inspiron 14 5482,8,SSD,512,Intel,8th Gen i5,2,NVIDIA MX130,1.7,14,Windows,Convertible,84900,,,,,,,,,,,,,
Dell,XPS 9370,16,SSD,512,Intel,8th Gen i7,Integrated,Intel UHD Graphics,0.39,13.3,Windows,Ultrabook,133990,,,,,,,,,,,,,
Dell,Inspiron 7373,16,SSD,512,Intel,8th Gen i7,Integrated,Intel UHD Graphics,1.63,13.3,Windows,Convertible,108990,,,,,,,,,,,,,
